nom_fichier,station,id,longitude,latitude,altitude,departement
ABBEVILLE_2000_80,ABBEVILLE,80001005.0,1.835,50.106667,68.0,80.0
AGENLA_GARENNE_2000_47,AGENLA_GARENNE,47091001.0,0.594667,44.172167,58.0,47.0
AHUN_LYCEE_2000_23,AHUN_LYCEE,23001001.0,2.029833,46.093333,460.0,23.0
AIXLES_MILLES_2000_13,AIXLES_MILLES,13001006.0,5.365667,43.504667,106.0,13.0
AJACCIO_2000_20,AJACCIO,20004002.0,8.792667,41.918,5.0,20.0
ALAIGNE_2000_11,ALAIGNE,11004001.0,2.098333,43.1125,293.0,11.0
ALBI_2000_81,ALBI,81004006.0,2.141667,43.928333,170.0,81.0
ALBON_2000_26,ALBON,26002003.0,4.822333,45.252333,153.0,26.0
ALENCON_2000_61,ALENCON,61001001.0,0.110167,48.4455,143.0,61.0
ALTHEN_2000_84,ALTHEN,84001001.0,4.962167,43.989833,35.0,84.0
ALTKIRCH_2000_68,ALTKIRCH,68004001.0,7.253333,47.618333,350.0,68.0
AMBERIEU_2000_01,AMBERIEU,1089001.0,5.329333,45.9765,250.0,1.0
AMBERT_2000_63,AMBERT,63003004.0,3.742667,45.516833,555.0,63.0
AMBOISE_LYCEE_2000_37,AMBOISE_LYCEE,37003004.0,0.977,47.394167,116.0,37.0
AMIENSGLISY_2000_80,AMIENSGLISY,80379002.0,2.3825,49.872,60.0,80.0
ANTRAIGUES_SA_2000_07,ANTRAIGUES_SA,7011004.0,4.352167,44.712167,600.0,7.0
ARBOIS_SAPC_2000_39,ARBOIS_SAPC,39013004.0,5.740167,46.896,313.0,39.0
ARGENTAN_2000_61,ARGENTAN,61006005.0,0.0115,48.718167,170.0,61.0
ASCROS_2000_06,ASCROS,6005001.0,7.013667,43.922,1173.0,6.0
AUBERIVE_SAPC_2000_52,AUBERIVE_SAPC,52023002.0,5.0535,47.783,349.0,52.0
AUBIGNYSURNERE_2000_18,AUBIGNYSURNERE,18015003.0,2.427333,47.4995,176.0,18.0
AUBUSSON_SAPC_2000_23,AUBUSSON_SAPC,23008004.0,2.187833,45.957833,486.0,23.0
AUPS_2000_83,AUPS,83007004.0,6.1875,43.641,497.0,83.0
AUTUN_2000_71,AUTUN,71014003.0,4.301667,46.951667,360.0,71.0
AUXERRE_2000_89,AUXERRE,89346001.0,3.5455,47.8015,207.0,89.0
AVALLON_2000_89,AVALLON,89025001.0,3.91,47.488333,253.0,89.0
AVIZECIVC_2000_51,AVIZECIVC,51029004.0,4.01,48.978,175.0,51.0
AVIZE_2000_51,AVIZE,51029003.0,4.026667,48.991,115.0,51.0
BAIGNEUX_LES_JUIFS_2000_21,BAIGNEUX_LES_JUIFS,21043001.0,4.645167,47.600333,415.0,21.0
BASTIA_2000_20,BASTIA,20148001.0,9.485167,42.540667,10.0,20.0
BEAUCOUZE_2000_49,BEAUCOUZE,49020001.0,-0.614333,47.479,50.0,49.0
BEAUFORTSGERV_2000_26,BEAUFORTSGERV,26035001.0,5.139,44.778,379.0,26.0
BEAUMONT_DU_LAC_2000_87,BEAUMONT_DU_LAC,87009003.0,1.863167,45.8015,670.0,87.0
BEAUMONT_SAPC_2000_37,BEAUMONT_SAPC,37023002.0,1.211667,47.177167,126.0,37.0
BELFORT_2000_90,BELFORT,90010001.0,6.876,47.629333,422.0,90.0
BELINBELIET_2000_33,BELINBELIET,33042001.0,-0.791,44.4935,36.0,33.0
BELLAC_2000_87,BELLAC,87011002.0,1.052667,46.120333,241.0,87.0
BELLEGARDEEND_2000_26,BELLEGARDEEND,26047001.0,5.454333,44.535167,1017.0,26.0
BELLEME_SAPC_2000_61,BELLEME_SAPC,61426001.0,0.55,48.373833,168.0,61.0
BENEVENT_SAPC_2000_23,BENEVENT_SAPC,23021001.0,1.6285,46.121,460.0,23.0
BERGERAC_2000_24,BERGERAC,24037002.0,0.483333,44.851667,51.0,24.0
BERGHEIMINRAE_2000_68,BERGHEIMINRAE,68028001.0,7.345833,48.216333,309.0,68.0
BERZEME_SA_2000_07,BERZEME_SA,7032003.0,4.5665,44.6285,760.0,7.0
BESANCON_2000_25,BESANCON,25056001.0,5.988833,47.249,307.0,25.0
BESIGNAN_2000_26,BESIGNAN,26050001.0,5.317,44.3205,556.0,26.0
BESSINES_2000_87,BESSINES,87014005.0,1.376,46.112667,301.0,87.0
BETHON_2000_51,BETHON,51056001.0,3.619833,48.607,135.0,51.0
